iterations;best_overall;mean_in_iter;time_margin;alive_percent
0;60072.66512486685;80314.45611779428;293;0.03
1;60072.66512486685;79523.69415584274;293;0.01
2;60072.66512486685;77598.45644572037;293;0.04
3;57907.55435412647;74634.81734533074;282;0.08
4;57907.55435412647;72408.15601355635;282;0.14
5;56689.45457300246;70566.48747563564;289;0.17
6;52233.925476899196;68843.78217272427;283;0.21
7;51038.35908873779;65026.85914820932;276;0.27
8;51038.35908873779;61146.142550798606;276;0.28
9;51038.35908873779;58556.00828390676;276;0.3
10;51038.35908873779;56528.77798550719;276;0.28
11;45469.717640447256;54400.48461239468;281;0.3
12;45469.717640447256;52920.850701479685;281;0.29
13;45469.717640447256;51718.330792848144;281;0.28
14;44707.826618625506;50650.70752648767;279;0.3
15;43750.50218238588;49431.147460174536;279;0.3
16;43750.50218238588;48005.301782714065;279;0.29
17;43750.50218238588;46832.68158336223;276;0.3
18;43750.50218238588;45825.70439520197;277;0.3
19;43240.60147466708;45127.74135299378;271;0.28
20;42478.710452845335;44689.95715547537;274;0.29
21;42478.710452845335;44246.75165446884;274;0.3
22;42478.710452845335;43884.13202608542;271;0.3
23;42478.710452845335;43556.01510293842;271;0.3
24;42478.710452845335;43381.75419567355;271;0.29
25;42478.710452845335;43136.37047726046;271;0.27
26;42478.710452845335;42798.69274414287;271;0.3
27;42478.710452845335;42507.97521072201;269;0.28
28;42478.710452845335;42478.71045284533;269;0.3
29;42478.710452845335;42509.08384295594;271;0.27
30;42478.710452845335;42488.61510201943;274;0.28
31;42478.710452845335;42478.71045284533;271;0.3
32;42478.710452845335;42478.71045284533;271;0.29
33;42478.710452845335;42478.71045284533;271;0.29
34;42478.710452845335;42478.71045284533;269;0.28
35;42478.710452845335;42488.28369720772;271;0.3
36;42478.710452845335;42478.71045284533;269;0.3
37;42478.710452845335;42478.71045284533;271;0.29
38;42478.710452845335;42478.71045284533;274;0.3
39;42478.710452845335;42478.71045284533;274;0.3
40;42478.710452845335;42478.71045284533;274;0.3
41;42478.710452845335;42496.77176001149;269;0.3
42;42478.710452845335;42478.71045284533;270;0.29
43;42478.710452845335;42478.71045284533;271;0.3
44;42478.710452845335;42491.97296521993;271;0.29
45;42478.710452845335;42478.71045284533;271;0.29
46;42478.710452845335;42478.71045284533;268;0.3
47;42478.710452845335;42478.71045284533;274;0.3
48;42478.710452845335;42478.71045284533;274;0.3
49;42478.710452845335;42478.71045284533;268;0.3
50;42478.710452845335;42488.28369720772;271;0.3
51;42478.710452845335;42488.417009035955;271;0.3
52;42478.710452845335;42485.61391133166;271;0.29
53;41730.74672628835;42471.23081557975;269;0.3
54;41730.74672628835;42471.23081557976;269;0.3
55;41730.74672628835;42479.63792236904;269;0.3
56;41730.74672628835;42471.078169921275;269;0.28
57;41730.74672628835;42463.60007453104;265;0.29
58;41730.74672628835;42441.312266517474;265;0.3
59;41730.74672628835;42440.855905862496;269;0.3
60;41730.74672628835;42336.597344799506;269;0.3
61;41730.74672628835;42230.55093944225;269;0.3
62;41730.74672628835;42117.70605619484;271;0.28
63;41730.74672628835;41910.25802066208;269;0.3
64;41730.74672628835;41730.74672628843;269;0.29
65;41730.74672628835;41730.74672628843;269;0.3
66;41730.74672628835;41730.74672628843;269;0.29
67;41730.74672628835;41748.8080334546;269;0.3
68;41730.74672628835;41730.74672628843;272;0.3
69;41730.74672628835;41730.74672628843;269;0.3
70;41730.74672628835;41730.74672628843;269;0.29
71;41730.74672628835;41754.13659553455;272;0.3
72;41730.74672628835;41730.74672628843;269;0.3
73;41730.74672628835;41762.23319079276;272;0.3
74;41730.74672628835;41749.854696379094;269;0.29
75;41730.74672628835;41730.74672628843;266;0.3
76;41730.74672628835;41842.82395247682;269;0.3
77;41730.74672628835;41748.1476259088;269;0.28
78;41730.74672628835;41730.74672628843;272;0.29
79;41730.74672628835;41730.74672628843;269;0.29
80;41730.74672628835;41741.98656807338;269;0.3
81;41730.74672628835;41750.02128256823;269;0.3
82;41730.74672628835;41770.16633659143;272;0.29
83;41730.74672628835;41742.504263999916;269;0.29
84;41730.74672628835;41754.13659553455;272;0.3
85;41730.74672628835;41768.45971966819;269;0.29
86;41730.74672628835;41739.43183820713;269;0.3
87;41730.74672628835;41730.74672628843;269;0.3
88;41730.74672628835;41730.74672628843;266;0.29
89;41730.74672628835;41741.98656807338;272;0.3
90;41730.74672628835;41730.74672628843;269;0.29
91;41730.74672628835;41771.852745095464;269;0.27
92;41730.74672628835;41730.74672628843;269;0.3
93;41730.74672628835;41730.74672628843;269;0.28
94;41730.74672628835;41751.184535494765;269;0.3
95;41730.74672628835;41755.64080032764;269;0.3
96;41730.74672628835;41750.2159750559;269;0.29
97;41730.74672628835;41730.74672628843;272;0.3
98;41730.74672628835;41730.74672628843;268;0.3
99;41730.74672628835;41730.74672628843;269;0.3
